,Address,ProposedUseDescription,DecisionDate,Decision,CommunityName,Latitude,Longitude,Permit_category_new,CTrain,Year
14442,4903 20 ST SW,SINGLE DETACHED DWELLING,2016/11/25,Approval,ALTADORE,51.01103746861355,-114.10951102410307,House,False,2016
14443,4236 RUNDLEHORN DR NE,SINGLE DETACHED DWELLING,2016/11/17,Approval,RUNDLE,51.070757090321045,-113.97174094847423,House,True,2016
14444,320 29 AV NE,SECONDARY SUITE,2017/02/13,Refusal,TUXEDO PARK,51.07884599008155,-114.0563040736465,Secondary_suite,False,2017
14445,820 JAMES MCKEVITT RD SW,SINGLE DETACHED DWELLING,2017/03/30,Approval,SHAWNEE SLOPES,50.922916045119685,-114.08607487570295,House,True,2017
14446,1111 OLYMPIC WY SE,APARTMENT BUILDING,2017/02/24,Approval,BELTLINE,51.041601185190466,-114.0536973535243,Multi_unit,True,2017
14447,111 CHRISTIE PARK VW SW,SINGLE DETACHED DWELLING,2016/12/01,Approval,CHRISTIE PARK,51.038791806432,-114.17548273547541,House,True,2016
14448,40 VALOUR CI SW,APARTMENT BUILDING,2017/04/13,Approval,CURRIE BARRACKS,51.01731955322173,-114.13289021760464,Multi_unit,False,2017
14449,139 SADDLELAKE WY NE,SECONDARY SUITE,2016/12/29,Approval,SADDLE RIDGE,51.13025963696671,-113.92587986471595,Secondary_suite,True,2016
14450,36 MEADOWLARK CR SW,SINGLE DETACHED DWELLING,2017/01/13,Approval,MEADOWLARK PARK,50.99696457687266,-114.08153700439912,House,False,2017
14452,37 WILDWOOD DR SW,SINGLE DETACHED DWELLING,2016/12/20,Approval,WILDWOOD,51.05378381712586,-114.14327445401993,House,False,2016
14453,231 ELGIN WY SE,SINGLE DETACHED DWELLING,2017/01/19,Approval,MCKENZIE TOWNE,50.90722316913465,-113.97292820656484,House,False,2017
14454,236 DOVERVIEW CR SE,SINGLE DETACHED DWELLING,2016/12/01,Approval,DOVER,51.019660470667326,-113.9825087986713,House,False,2016
14455,158 COVEMEADOW CR NE,SECONDARY SUITE,2016/12/21,Approval,COVENTRY HILLS,51.16922693652678,-114.06634350250084,Secondary_suite,False,2016
14457,1307 11 AV SE,SEMI-DETACHED DWELLING,2017/01/13,Approval,INGLEWOOD,51.039398012771215,-114.03537394361744,House,False,2017
14459,214 7A ST NE,BACKYARD SUITE,2017/04/25,Approval,BRIDGELAND/RIVERSIDE,51.053918596046216,-114.04416608338488,Secondary_suite,True,2017
14460,6323 THORNCLIFFE DR NW,SINGLE DETACHED DWELLING,2016/11/29,Approval,THORNCLIFFE,51.10897939438129,-114.06545719455464,House,False,2016
14461,1905A 30 ST SW,MULTI-RESIDENTIAL DEVELOPMENT,2016/12/17,Approval,KILLARNEY/GLENGARRY,51.037534701990566,-114.13141994312454,Multi_unit,False,2016
14463,77 SHANNON CR SW,SINGLE DETACHED DWELLING,2016/11/25,Approval,SHAWNESSY,50.911062683925316,-114.08671872364809,House,True,2016
14464,8 SAGE BANK WY NW,SECONDARY SUITE,2016/12/15,Approval,SAGE HILL,51.17903617416452,-114.1569153758997,Secondary_suite,False,2016
14465,100 CHAPARRAL VALLEY TC SE,SINGLE DETACHED DWELLING,2016/12/01,Approval,CHAPARRAL,50.88264840528343,-114.01770802986046,House,False,2016
14466,1298 WALDEN DR SE,SINGLE DETACHED DWELLING,2017/01/04,Approval,WALDEN,50.865724036218815,-114.02463718815201,House,False,2017
14467,443 31 AV NE,SINGLE DETACHED DWELLING,2017/03/28,Approval,WINSTON HEIGHTS/MOUNTVIEW,51.07989366577678,-114.0518933026512,House,False,2017
14468,2301G 6 AV NW,BACKYARD SUITE,2017/03/01,Refusal,WEST HILLHURST,51.058068348185756,-114.11318933754214,Secondary_suite,False,2017
14469,631 27 AV NW,CONTEXTUAL SEMI-DETACHED DWELLING,2017/01/20,Approval,MOUNT PLEASANT,51.076819609804325,-114.07582034792627,House,False,2017
14470,67 LANGTON DR SW,CONTEXTUAL SINGLE DETACHED DWELLING,2017/02/03,Approval,NORTH GLENMORE PARK,51.00219541372662,-114.11585665617577,House,False,2017
14471,8531 8A AV SW,MULTI-RESIDENTIAL DEVELOPMENT,2016/12/20,Approval,WEST SPRINGS,51.06146444715479,-114.2091812449906,Multi_unit,False,2016
14472,736 24 AV SE,SINGLE DETACHED DWELLING,2016/12/29,Approval,RAMSAY,51.03226622725065,-114.04413167104376,House,False,2016
14473,1111 16A ST NW,SINGLE DETACHED DWELLING,2017/02/02,Approval,HOUNSFIELD HEIGHTS/BRIAR HILL,51.061665483244184,-114.0987614703984,House,True,2017
14474,36 HIDDEN RANCH RD NW,SECONDARY SUITE,2016/12/22,Approval,HIDDEN VALLEY,51.14785726278625,-114.12452249772132,Secondary_suite,False,2016
14475,14712 MT MCKENZIE DR SE,SINGLE DETACHED DWELLING,2016/12/01,Approval,MCKENZIE LAKE,50.92409777051405,-113.98019791339293,House,False,2016
14476,2715 42 ST SW,SINGLE DETACHED DWELLING,2016/12/02,Approval,GLENDALE,51.0298563300988,-114.1482756328077,House,True,2016
14477,5607 BAROC RD NW,SINGLE DETACHED DWELLING,2017/03/22,Approval,DALHOUSIE,51.107923522204466,-114.16823631083136,House,True,2017
14478,3917 EDISON CR SW,SINGLE DETACHED DWELLING,2017/05/18,Approval,ELBOW PARK,51.01939756251631,-114.07024988348024,House,False,2017
14479,447 SCARBORO AV SW,SINGLE DETACHED DWELLING,2017/05/12,Approval,SCARBORO,51.04240401377412,-114.1089928852148,House,True,2017
14481,115 WOODACRES DR SW,SINGLE DETACHED DWELLING,2017/02/23,Approval,WOODBINE,50.93119047586834,-114.11944790937193,House,False,2017
14483,2619 30 ST SW,SINGLE DETACHED DWELLING,2017/01/03,Approval,KILLARNEY/GLENGARRY,51.030864307143425,-114.131417444103,House,False,2017
14484,57 STRATHEARN GD SW,SEMI-DETACHED DWELLING,2016/12/09,Approval,STRATHCONA PARK,51.04124415585539,-114.1670160117552,House,False,2016
